 ,Area,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1,116.500,36.500,2.828,1.128,1.128,0.000,1.414,116,36,135.000,1.000
2,1,738.500,242.500,2.828,1.128,1.128,0.000,1.414,738,242,135.000,1.000
3,1,240.500,374.500,2.828,1.128,1.128,0.000,1.414,240,374,135.000,1.000
4,1,737.500,378.500,2.828,1.128,1.128,0.000,1.414,737,378,135.000,1.000
5,1,557.500,400.500,2.828,1.128,1.128,0.000,1.414,557,400,135.000,1.000
6,1,1387.500,433.500,2.828,1.128,1.128,0.000,1.414,1387,433,135.000,1.000
7,1,642.500,467.500,2.828,1.128,1.128,0.000,1.414,642,467,135.000,1.000
8,1,401.500,494.500,2.828,1.128,1.128,0.000,1.414,401,494,135.000,1.000
9,1,839.500,526.500,2.828,1.128,1.128,0.000,1.414,839,526,135.000,1.000
10,1,648.500,770.500,2.828,1.128,1.128,0.000,1.414,648,770,135.000,1.000
11,1,438.500,811.500,2.828,1.128,1.128,0.000,1.414,438,811,135.000,1.000
12,1,938.500,854.500,2.828,1.128,1.128,0.000,1.414,938,854,135.000,1.000
13,1,1261.500,879.500,2.828,1.128,1.128,0.000,1.414,1261,879,135.000,1.000
14,1,538.500,898.500,2.828,1.128,1.128,0.000,1.414,538,898,135.000,1.000
15,1,1201.500,898.500,2.828,1.128,1.128,0.000,1.414,1201,898,135.000,1.000
16,1,37.500,947.500,2.828,1.128,1.128,0.000,1.414,37,947,135.000,1.000
17,1,699.500,962.500,2.828,1.128,1.128,0.000,1.414,699,962,135.000,1.000
18,2,1231.000,82.000,5.657,2.596,0.981,45.000,2.828,1230,83,45.000,1.414
19,2,986.000,163.000,5.657,2.596,0.981,45.000,2.828,985,164,45.000,1.414
20,2,681.000,223.500,4.243,2.257,1.128,0.000,2.236,680,223,153.435,1.000
21,2,201.000,471.500,4.243,2.257,1.128,0.000,2.236,200,471,153.435,1.000
22,2,1313.000,520.500,4.243,2.257,1.128,0.000,2.236,1312,520,153.435,1.000
23,2,143.500,744.000,4.828,2.257,1.128,90.000,2.236,143,743,116.565,1.000
24,2,540.000,747.500,4.243,2.257,1.128,0.000,2.236,539,747,153.435,1.000
25,2,1077.500,761.000,4.828,2.257,1.128,90.000,2.236,1077,760,116.565,1.000
26,2,852.000,784.000,5.657,2.596,0.981,135.000,2.828,851,783,135.000,1.414
27,2,675.500,795.000,4.828,2.257,1.128,90.000,2.236,675,794,116.565,1.000
28,2,548.500,916.000,4.828,2.257,1.128,90.000,2.236,548,915,116.565,1.000
29,2,915.000,1009.500,4.243,2.257,1.128,0.000,2.236,914,1009,153.435,1.000
30,3,1335.833,16.833,5.657,2.365,1.615,45.000,2.828,1335,18,45.000,2.000
31,3,451.167,79.167,5.657,2.365,1.615,45.000,2.828,450,80,45.000,2.000
32,3,558.167,133.167,5.657,2.365,1.615,45.000,2.828,557,134,45.000,2.000
33,3,319.167,136.167,5.657,2.365,1.615,45.000,2.828,318,137,45.000,2.000
34,3,368.833,139.833,5.657,2.365,1.615,45.000,2.828,368,141,45.000,2.000
35,3,10.833,164.833,5.657,2.365,1.615,45.000,2.828,10,166,45.000,2.000
36,3,1386.167,172.167,5.657,2.365,1.615,45.000,2.828,1385,173,45.000,2.000
37,3,184.167,323.833,5.657,2.365,1.615,135.000,2.828,183,323,135.000,2.000
38,3,592.833,401.833,5.657,2.365,1.615,45.000,2.828,592,403,45.000,2.000
39,3,1040.167,439.833,5.657,2.365,1.615,135.000,2.828,1039,439,135.000,2.000
40,3,677.833,453.167,5.657,2.365,1.615,135.000,2.828,677,452,135.000,2.000
41,3,144.167,507.167,5.657,2.365,1.615,45.000,2.828,143,508,45.000,2.000
42,3,1184.167,559.833,5.657,2.365,1.615,135.000,2.828,1183,559,135.000,2.000
43,3,254.167,564.167,5.657,2.365,1.615,45.000,2.828,253,565,45.000,2.000
44,3,199.167,606.167,5.657,2.365,1.615,45.000,2.828,198,607,45.000,2.000
45,3,583.833,692.833,5.657,2.365,1.615,45.000,2.828,583,694,45.000,2.000
46,3,1160.833,725.833,5.657,2.365,1.615,45.000,2.828,1160,727,45.000,2.000
47,3,1367.833,818.833,5.657,2.365,1.615,45.000,2.828,1367,820,45.000,2.000
48,3,1028.833,909.167,5.657,2.365,1.615,135.000,2.828,1028,908,135.000,2.000
49,3,825.167,963.833,5.657,2.365,1.615,135.000,2.828,824,963,135.000,2.000
50,4,275.750,56.500,7.657,2.734,1.863,90.000,3.162,275,55,108.435,2.000
51,4,706.000,69.000,5.657,2.257,2.257,0.000,2.828,705,68,135.000,2.000
52,4,384.000,82.000,5.657,2.257,2.257,0.000,2.828,383,81,135.000,2.000
53,4,571.000,83.000,5.657,2.257,2.257,0.000,2.828,570,82,135.000,2.000
54,4,553.500,88.750,7.071,2.734,1.863,0.000,3.162,552,88,161.565,2.000
55,4,657.000,153.000,5.657,2.257,2.257,0.000,2.828,656,152,135.000,2.000
56,4,951.000,177.000,5.657,2.257,2.257,0.000,2.828,950,176,135.000,2.000
57,4,842.000,181.000,5.657,2.257,2.257,0.000,2.828,841,180,135.000,2.000
58,4,589.000,203.000,5.657,2.257,2.257,0.000,2.828,588,202,135.000,2.000
59,4,972.000,299.000,5.657,2.257,2.257,0.000,2.828,971,298,135.000,2.000
60,4,821.000,391.500,7.657,3.216,1.583,121.717,3.606,820,390,123.690,2.000
61,4,354.000,481.000,5.657,2.257,2.257,0.000,2.828,353,480,135.000,2.000
62,4,1219.000,509.000,5.657,2.257,2.257,0.000,2.828,1218,508,135.000,2.000
63,4,241.000,513.000,5.657,2.257,2.257,0.000,2.828,240,512,135.000,2.000
64,4,273.000,562.000,5.657,2.257,2.257,0.000,2.828,272,561,135.000,2.000
65,4,1144.000,614.000,5.657,2.257,2.257,0.000,2.828,1143,613,135.000,2.000
66,4,990.500,655.250,7.071,2.734,1.863,0.000,3.162,989,655,161.565,2.000
67,4,565.000,693.000,5.657,2.257,2.257,0.000,2.828,564,692,135.000,2.000
68,4,1311.000,712.000,5.657,2.257,2.257,0.000,2.828,1310,711,135.000,2.000
69,4,184.000,758.000,5.657,2.257,2.257,0.000,2.828,183,757,135.000,2.000
70,4,464.000,794.000,5.657,2.257,2.257,0.000,2.828,463,793,135.000,2.000
71,4,892.000,812.000,5.657,2.257,2.257,0.000,2.828,891,811,135.000,2.000
72,4,526.000,837.000,5.657,2.257,2.257,0.000,2.828,525,836,135.000,2.000
73,4,386.000,869.000,5.657,2.257,2.257,0.000,2.828,385,868,135.000,2.000
74,4,858.000,903.000,5.657,2.257,2.257,0.000,2.828,857,902,135.000,2.000
75,4,714.000,931.000,5.657,2.257,2.257,0.000,2.828,713,930,135.000,2.000
76,4,1241.000,945.000,5.657,2.257,2.257,0.000,2.828,1240,944,135.000,2.000
77,4,929.000,950.000,5.657,2.257,2.257,0.000,2.828,928,949,135.000,2.000
78,4,663.000,986.500,7.657,3.216,1.583,58.283,3.606,662,988,56.310,2.000
79,4,948.000,1023.000,5.657,2.257,2.257,0.000,2.828,947,1022,135.000,2.000
80,4,994.000,1027.000,5.657,2.257,2.257,0.000,2.828,993,1026,135.000,2.000
