 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,1,0.000,326,326,1179.500,670.500,1179.500,670.500,2.828,1.128,1.128,0.000,16
2,12,3.934,376,389,924.000,166.500,924.004,166.496,11.657,4.514,3.385,0.000,17
3,14,3.847,332,343,1172.000,685.786,1172.002,685.777,12.485,4.264,4.181,2.771E-13,17
4,22,5.050,294,312,1040.409,9.455,1040.411,9.446,16.485,6.006,4.664,49.417,18
5,14,3.056,374,383,914.000,163.286,914.004,163.284,13.899,5.120,3.481,51.198,18
6,11,3.488,331,342,1182.773,680.955,1182.758,680.955,13.071,6.327,2.214,3.058,18
7,2,3.536,268,273,1159.500,690.000,1159.500,689.995,4.828,2.257,1.128,90.000,18
8,4,2.380,156,161,41.000,780.000,41.002,780.006,5.657,2.257,2.257,0.000,18
9,53,11.840,270,312,1056.915,12.632,1056.854,12.599,25.799,8.548,7.894,120.936,19
10,39,12.685,304,348,899.577,176.628,899.634,176.587,22.142,7.997,6.209,41.184,19
11,9,7.379,360,379,402.167,544.611,402.172,544.625,10.485,3.919,2.924,159.699,19
12,21,5.035,354,371,1180.929,685.119,1180.927,685.105,15.899,6.279,4.258,82.798,19
13,5,1.140,188,191,39.700,791.100,39.701,791.100,7.657,3.144,2.025,18.435,19
14,28,9.935,289,325,1056.929,9.893,1056.881,9.877,19.556,6.669,5.345,169.718,20
15,13,2.629,377,386,927.115,152.962,927.118,152.966,12.485,4.899,3.378,129.265,20
16,43,12.651,458,503,407.221,556.802,407.226,556.839,23.799,8.050,6.801,135.884,20
17,11,2.687,362,371,1186.409,672.955,1186.403,672.956,12.728,4.760,2.943,13.283,20
18,45,14.951,355,410,913.789,142.367,913.839,142.391,23.556,7.973,7.186,162.617,21
19,84,20.068,494,572,389.131,571.024,389.200,571.057,33.456,11.901,8.987,151.622,21
20,10,2.079,192,198,40.500,798.300,40.506,798.297,11.071,3.966,3.210,90.000,21
21,3,3.512,353,360,914.833,132.833,914.834,132.836,5.657,2.365,1.615,45.000,22
22,65,29.826,395,517,908.285,148.715,908.356,148.769,28.385,9.755,8.484,146.674,22
23,113,24.902,487,588,404.323,560.155,404.324,560.265,40.284,12.934,11.124,78.313,22
24,7,4.413,498,510,422.786,574.929,422.778,574.930,9.071,4.154,2.146,8.350,22
25,8,1.982,197,203,43.250,798.750,43.251,798.744,10.485,3.797,2.682,97.018,22
26,86,34.593,474,602,913.744,163.593,913.798,163.586,33.213,10.938,10.011,87.855,23
27,9,13.684,350,389,902.500,167.500,902.527,167.492,9.657,3.385,3.385,0.000,23
28,93,30.982,447,573,425.382,567.995,425.192,568.119,48.527,15.903,7.446,28.688,23
29,10,4.050,210,223,585.800,634.800,585.812,634.808,12.485,4.857,2.621,179.523,23
30,10,9.065,337,361,933.000,125.300,932.999,125.318,10.485,4.111,3.097,2.596E-14,24
31,106,34.410,530,655,929.151,154.009,929.171,154.028,36.627,12.255,11.013,70.442,24
32,45,16.700,431,487,912.322,158.167,912.369,158.163,23.556,8.172,7.011,79.961,24
33,4,1.291,278,281,1358.000,172.000,1358.001,172.002,5.657,2.257,2.257,0.000,24
34,2,1.414,108,110,596.500,523.000,596.500,523.005,4.828,2.257,1.128,90.000,24
35,49,14.907,503,556,429.806,574.071,429.739,574.075,27.556,11.120,5.611,176.816,24
