 ,Area,StdDev,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,Slice
1,3,0.577,192,193,1119.500,727.500,1119.498,727.500,6.243,3.385,1.128,0.000,15
2,22,9.554,218,252,361.409,750.591,361.407,750.558,15.899,5.554,5.043,45.000,15
3,82,32.047,233,351,381.817,721.146,381.672,721.174,32.385,10.521,9.924,111.028,16
4,41,8.864,195,228,1113.500,725.256,1113.533,725.206,22.142,7.258,7.193,0.000,16
5,38,7.469,216,244,1116.763,723.684,1116.767,723.631,24.142,8.006,6.044,89.351,17
6,154,49.506,287,472,380.461,729.188,380.304,729.165,44.870,14.829,13.222,84.610,17
7,177,46.478,303,485,376.223,732.031,376.070,731.966,49.698,16.604,13.573,111.186,18
8,180,50.380,331,523,370.089,710.533,369.987,710.659,48.284,15.943,14.376,124.641,19
9,4,3.686,212,221,379.000,741.000,378.995,740.995,5.657,2.257,2.257,0.000,19
10,203,44.204,336,504,375.140,718.446,375.002,718.493,51.941,17.310,14.931,119.949,20
11,2,3.536,211,216,377.000,745.500,376.994,745.500,4.243,2.257,1.128,0.000,20
12,189,37.790,312,471,376.093,724.992,375.933,725.032,51.113,16.628,14.472,27.174,21
13,171,28.246,355,457,371.348,721.512,371.267,721.532,47.698,15.247,14.280,115.449,22
14,1,0.000,282,282,388.500,895.500,388.500,895.500,2.828,1.128,1.128,0.000,22
15,9,6.654,261,280,1355.167,931.611,1355.146,931.603,10.485,3.919,2.924,159.699,22
16,13,11.694,255,288,726.115,367.115,726.146,367.144,11.899,4.380,3.779,135.000,23
17,12,8.888,266,295,721.500,394.000,721.520,393.987,11.657,4.514,3.385,90.000,23
18,134,17.004,342,411,367.918,717.090,367.889,717.154,42.870,13.840,12.328,97.555,23
19,4,2.449,326,331,1345.750,918.500,1345.748,918.502,7.657,2.734,1.863,90.000,23
20,2,2.121,280,283,1344.000,942.500,1343.997,942.500,4.243,2.257,1.128,0.000,23
21,11,5.608,340,356,754.682,371.682,754.676,371.692,11.899,3.807,3.678,45.002,24
22,18,11.330,309,348,730.389,373.778,730.419,373.795,14.728,5.088,4.504,154.594,24
23,121,12.511,340,389,368.698,722.021,368.670,722.042,42.284,15.640,9.851,117.070,24
24,20,3.315,337,348,1341.200,926.850,1341.192,926.846,16.142,5.348,4.762,22.875,24
25,27,12.795,318,362,766.093,374.574,766.059,374.593,17.899,6.451,5.329,167.508,25
26,18,11.136,284,319,772.889,380.222,772.858,380.224,15.314,5.698,4.022,102.236,25
27,37,6.589,351,374,364.932,721.392,364.920,721.408,22.385,8.089,5.824,26.532,25
28,1,0.000,360,360,367.500,725.500,367.500,725.500,2.828,1.128,1.128,0.000,25
29,49,13.226,295,344,1330.051,945.316,1330.026,945.236,26.385,10.369,6.017,129.489,25
30,5,4.037,320,328,751.100,367.300,751.101,367.308,7.657,3.144,2.025,108.435,26
31,44,28.522,243,340,777.136,388.068,776.994,388.064,23.556,8.195,6.836,168.719,26
32,10,1.947,352,357,360.500,726.000,360.503,726.002,10.485,4.444,2.865,116.565,26
33,28,6.104,338,359,1339.893,935.107,1339.876,935.098,18.728,5.986,5.956,135.000,26
34,11,8.595,288,312,769.682,374.318,769.665,374.335,11.899,3.807,3.678,135.000,27
35,34,17.750,240,299,778.000,382.794,777.924,382.812,20.142,6.986,6.197,90.000,27
36,25,8.919,362,395,740.300,394.060,740.314,394.059,17.314,6.464,4.925,114.972,27
37,8,9.164,276,301,769.875,401.250,769.849,401.236,9.899,4.044,2.519,160.670,27
38,2,0.707,325,326,1352.500,933.000,1352.500,932.999,4.828,2.257,1.128,90.000,27
39,1,0.000,350,350,1344.500,937.500,1344.500,937.500,2.828,1.128,1.128,0.000,27
40,34,12.365,308,353,765.206,372.235,765.179,372.265,20.728,7.307,5.925,115.113,28
41,39,18.109,295,358,726.500,383.910,726.567,383.906,21.556,7.376,6.732,0.000,28
42,7,5.242,332,346,762.786,398.500,762.778,398.494,9.071,3.086,2.888,90.000,28
43,7,3.729,350,361,1345.786,932.071,1345.776,932.070,9.071,4.154,2.146,171.650,28
44,10,3.333,312,321,1318.500,934.000,1318.504,933.995,10.485,4.444,2.865,116.565,28
45,4,5.164,273,285,736.000,365.000,736.004,365.007,5.657,2.257,2.257,0.000,29
46,58,19.853,339,413,732.000,382.638,732.051,382.643,26.385,8.854,8.341,90.000,29
47,64,24.049,282,369,768.922,401.781,768.761,401.671,31.799,11.910,6.842,143.232,29
48,13,9.033,281,309,758.115,411.115,758.107,411.088,11.899,4.380,3.779,135.000,29
49,11,8.525,188,212,341.136,616.955,341.162,616.934,11.314,3.994,3.507,108.435,29
50,6,5.345,331,346,1350.000,918.000,1349.987,918.006,9.071,3.988,1.916,18.435,29
51,15,7.290,327,353,1352.033,925.233,1352.012,925.234,14.142,4.932,3.872,42.651,29
52,52,19.276,272,344,733.442,368.673,733.509,368.734,25.799,8.615,7.685,170.111,30
53,78,28.489,322,428,769.103,394.923,769.008,394.887,30.627,10.211,9.726,36.702,30
54,25,7.990,364,390,750.060,399.300,750.053,399.284,17.314,6.464,4.925,155.028,30
55,11,7.244,225,247,736.682,416.045,736.681,416.021,11.314,4.507,3.107,131.028,30
56,27,6.973,259,284,353.537,612.389,353.563,612.371,18.728,6.624,5.190,13.826,30
57,3,4.041,212,219,361.167,624.833,361.163,624.826,5.657,2.365,1.615,135.000,30
58,3,3.055,323,329,1321.833,932.833,1321.836,932.830,5.657,2.365,1.615,45.000,30
59,81,26.350,331,430,734.944,376.969,735.008,377.032,31.799,10.735,9.607,131.524,31
60,92,32.014,351,461,768.087,392.228,767.962,392.232,34.627,11.672,10.036,106.316,31
61,5,5.020,371,383,761.700,400.900,761.696,400.895,7.657,3.144,2.025,161.565,31
62,32,13.519,335,382,750.281,406.875,750.290,406.827,19.899,6.718,6.065,131.642,31
63,34,10.638,243,280,346.382,596.706,346.424,596.721,21.556,7.117,6.083,65.931,31
64,78,26.191,347,446,752.436,371.923,752.449,371.987,30.971,10.664,9.313,111.873,32
65,106,34.727,310,445,772.142,383.443,771.939,383.507,37.213,12.940,10.430,27.032,32
